,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
5661,C7H7FO,456-49-5,126.128,liq,-35,159.0,1.10425,1.487620,,COc1cccc(F)c1
5662,C7H7FO,459-60-9,126.128,liq,-45,157.0,1.178118,1.488618,s eth,COc1ccc(F)cc1
5666,C4H9F,353-61-7,76.112,col gas,,12.1,,,,CC(C)(C)F
5669,C10H7F,323-09-1,146.161,nd (al),58(1),212.0,,,"i H2O; s EtOH, eth, bz, chl, HOAc",Fc1ccc2ccccc2c1
5672,C6H4FNO2,350-46-9,141.100,ye nd,26.5(5),205.0,1.330020,1.531620,"i H2O; s EtOH, eth; sl ctc",[O-][N+](=O)c1ccc(F)cc1
5676,C6H5FO,372-20-3,112.101,,14(1),178.0,1.23825,1.514020,,Oc1cccc(F)c1
5677,C6H5FO,371-41-5,112.101,,48(1),185.5,1.188956,,"sl H2O; s ace, peth",Oc1ccc(F)cc1
5679,C8H7FO,403-42-9,138.139,liq,-45,196.0,1.138225,1.508125,"i H2O; s bz, chl",CC(=O)c1ccc(F)cc1
5682,C3H5FO,430-51-3,76.069,,,77.0,1.028820,1.370020,,CC(=O)CF
5685,C3H5F,1184-60-7,60.070,col gas,,-24.0,,,,CC(F)=C
5687,C5H4FN,372-48-5,97.091,,,125.0,1.128020,1.457420,,Fc1ccccn1
5688,C5H4FN,372-47-4,97.091,liq,,107.0,1.130,1.472020,,Fc1cccnc1
5694,C7H4F4,392-85-8,164.101,,,114.5,1.29325,1.404025,,Fc1ccccc1C(F)(F)F
5696,C7H4F4,402-44-8,164.101,liq,-41.7,103.5,1.29325,1.402520,,Fc1ccc(cc1)C(F)(F)F
5697,C3H9FSi,420-56-4,92.187,vol liq or gas,,16.4,,,,C[Si](C)(C)F
5720,CH2O2,64-18-6,46.026,col liq,8.3(2),101.0,1.22020,1.371420,"msc H2O, EtOH, eth; vs ace; s bz, tol",OC=O
5727,C8H5NO,24964-64-5,131.132,,76.5,210.0,,,"vs H2O, EtOH, eth, chl",O=Cc1cccc(c1)C#N
5732,CHFO,1493-02-3,48.016,col gas,-142.2,-26.5,1.1950-30,,,FC=O
5749,C5H3NO,617-90-3,93.084,,,147.0,1.082220,1.479820,"s EtOH, eth",N#Cc1occc1
5750,C5H3ClO2,527-69-5,130.530,liq,-1.0,173.0,1.32425,1.531020,"i H2O; s eth, chl; sl ctc",ClC(=O)c1occc1
5751,C5H4O2,498-60-2,96.085,,,145.0,1.11020,1.494520,,O=Cc1cocc1
5753,C5H4O3,88-14-2,112.084,mcl nd or lf (w),130(3),231.0,,,"s H2O, EtOH; vs eth; sl ace",OC(=O)c1occc1
5756,C5H7NO,617-89-0,97.116,,,145.5,1.099520,1.490820,"msc H2O, EtOH; s eth, chl",NCc1occc1
5757,C9H10O5,613-75-2,198.172,nd or pl (eth-peth),52(1),220.0,,,"vs bz, eth, EtOH",CC(=O)OC(OC(C)=O)c1occc1
5758,C5H6OS,98-02-2,114.166,,,157.0,1.131920,1.532920,i H2O; sl chl,SCc1occc1
5760,C8H10O2,699-17-2,138.164,oil,,203.0,1.036119,1.469617,,CC(=O)CCc1occc1
5762,C6H6O2,1192-62-7,110.111,cry (lig),28.5(4),175.0,1.09820,1.501720,"i H2O; s EtOH, eth",CC(=O)c1occc1
5763,C10H14O3,36701-01-6,182.216,,,228.0,1.028420,,"vs eth, EtOH",CCCCC(=O)OCc1occc1
5764,C13H10O2,717-21-5,198.217,,47,317.0,1.114020,,"s EtOH, eth",O=C(\C=C\c1occc1)c2ccccc2
5766,C7H8O2,6975-60-6,124.138,,29,179.5,1.10420,1.503520,,CC(=O)Cc1occc1
5768,C7H5NO,7187-01-1,119.121,,38,96.0,,1.582425,vs tol,N#C/C=C/c1occc1
5769,C7H6O3,539-47-9,138.121,nd (w),141(3),286.0,,,"vs eth, EtOH",OC(=O)/C=C/c1occc1
5775,C8H10O3,623-19-8,154.163,,,195.0,1.108520,,"sl H2O; s EtOH, ace; msc eth",CCC(=O)OCc1occc1
5837,C7H14O4,557-25-5,162.184,,,280.0,1.12918,1.453120,"vs H2O, EtOH",CCCC(=O)OCC(O)CO
5849,C18H32O6,620-63-3,344.443,,,332.5,0.998420,1.435420,"vs eth, EtOH",CC(C)CC(=O)OCC(COC(=O)CC(C)C)OC(=O)CC(C)C
5864,C2H4O3,79-14-1,76.051,orth nd (w) lf (eth),79.5,100.0,,,"s H2O, EtOH, eth",OCC(O)=O
5876,C2H2O2,107-22-2,58.036,ye pr,15,50.4,1.1420,1.382620,"vs H2O; s EtOH, eth",O=CC=O
5923,C31H64,630-04-6,436.840,lf (AcOEt),68(1),458.0,0.78168,1.427890,"sl EtOH, eth, bz, chl; s peth",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
5927,C3HCl7,3849-33-0,285.211,,11,249.0,1.792134,1.542721,vs chl,ClC(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
5928,C70H142,7719-93-9,983.876,,106(4),647.0,,,,
5929,C27H56,593-49-7,380.734,"cry (al, bz) lf (AcOEt)",58.8(1),442.0,0.779660,1.434565,"i H2O, EtOH; sl eth",CCCCCCCCCCCCCCCCCCCCCCCCCCC
5933,C17H33N,5399-02-0,251.451,cry (al),34.0(7),349.0,0.831520,1.446720,"i H2O; sl EtOH, chl; vs eth",CCCCCCCCCCCCCCCCC#N
5935,C17H36O,1454-85-9,256.467,"lf (al), cry (ace)",53(1),324.0,0.847520,,"i H2O; s EtOH, eth",CCCCCCCCCCCCCCCCCO
5937,C17H34O,540-08-9,254.451,pl (MeOH),50.7(2),251.5,0.814048,,sl EtOH; s MeOH,CCCCCCCCC(=O)CCCCCCCC
5940,C7H10O,4313-03-5,110.153,,,84.5,0.88125,1.531520,,CC/C=C/C=C/C=O
5945,C8F14O3,336-59-4,410.062,liq,-43,106.5,1.66520,1.28520,,FC(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
5949,C3F7I,677-69-0,295.925,,,38.0,1.329820,,,FC(F)(F)C(F)(I)C(F)(F)F
5950,C3HF7,431-89-0,170.029,col gas,-126.80,-16.34,,,,FC(C(F)(F)F)C(F)(F)F
5954,C7H15NO,629-31-2,129.200,pl (al),57.5,195.0,0.858355,1.421020,"sl H2O; s EtOH, eth",CCCCCC\C=N/O
5958,C7H18N2,646-19-5,130.231,,25.3(4),224.0,,,"s EtOH, eth, ace",NCCCCCCCN
5960,C7H12O4,111-16-0,160.168,pr (w),104.4(3),342.0,1.32915,,"s H2O, EtOH, eth; i bz",OC(=O)CCCCCC(O)=O
5961,C7H16O2,629-30-1,132.201,,21.9(2),262.0,0.956925,1.452025,"vs eth, EtOH",OCCCCCCCO
5963,C7H12O2,96-04-8,128.169,,,144.0,0.91918,1.415018,,CCCCC(=O)C(C)=O
5970,C14H26O3,626-27-7,242.354,liq,-12.4(5),269.5,0.932120,1.433515,"i H2O; s EtOH, eth",CCCCCCC(=O)OC(=O)CCCCCC
5972,C7H16O,52390-72-4,116.201,,,159.0,0.816720,1.421020,"sl H2O, ctc; s EtOH, eth",CCCCCC(C)O
5978,C7H13ClO,2528-61-2,148.630,liq,-83.8,125.2,0.959020,1.434518,s eth; sl ctc; vs lig,CCCCCCC(Cl)=O
5979,C7H12O,2463-63-0,112.169,,,166.0,0.86417,1.446817,,CCCC\C=C\C=O
5986,C7H12O2,1119-60-4,128.169,liq,-6.5,226.0,0.951514,1.440414,,OC(=O)CCCCC=C
5987,C7H14O,3521-91-3,114.185,,,152.1,0.838422,1.434720,,CCCC(O)CC=C
5988,C7H14O,33467-76-4,114.185,,,178.0,0.851620,1.446020,"s EtOH, ace",CCCC\C=C\CO
5995,C11H20O2,104-67-6,184.276,,,286.0,0.949420,1.451220,vs EtOH,CCCCCCC[C@H]1CCC(=O)O1
6011,C3Cl6O,116-16-5,264.749,liq,-1.0,203.0,1.743412,1.511220,sl H2O; s ace,ClC(Cl)(Cl)C(=O)C(Cl)(Cl)Cl
6012,C6Cl6,118-74-1,284.782,nd (sub),230(3),325.0,2.04423,1.569123,"i H2O; sl EtOH; s eth, chl; vs bz",Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
6022,C5Cl6,77-47-4,272.772,ye grn liq,-9,239.0,1.701925,1.565820,,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl
6038,C16H31N,629-79-8,237.424,hex,31.4(4),333.0,0.830320,1.445020,"i H2O; vs EtOH, eth, ace, bz, chl",CCCCCCCCCCCCCCCC#N
6050,C22H38,1459-09-2,302.537,,26.4(4),385.0,0.854720,1.481320,"i H2O; sl EtOH; vs eth, bz, CS2",CCCCCCCCCCCCCCCCc1ccccc1
6051,C18H39N,112-69-6,269.510,,,330.0,,,,CCCCCCCCCCCCCCCCN(C)C
6060,C16H33Cl3Si,5894-60-0,359.878,,,269.0,,,,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl
6062,C16H30,629-74-3,222.409,,15(2),284.0,0.796520,1.444020,vs bz,CCCCCCCCCCCCCCC#C
6063,C6H8O,142-83-6,96.127,liq,-16.5,174.0,0.89820,1.538420,,C/C=C/C=C/C=O
6087,C4F6,692-50-2,162.033,col gas,-117.4,-24.6,,,"s EtOH, eth, ace, ctc, HOAc",FC(F)(F)CCC(F)(F)F
6091,C3H2F6,431-63-0,152.038,col gas,,6.2,1.50260,,,FC(F)C(F)C(F)(F)F
6095,C5H12N2,505-66-8,100.162,hyg,40.5,169.0,,,,C1CNCCNC1
6096,C13H16O2,126-15-8,204.265,liq,-80,307.0,1.1020,1.525420,i H2O,O=CC12CC=CCC1C3CC=CCC3O2
6098,C15H24,523-47-7,204.352,,,274.0,0.923020,1.505920,"vs eth, lig",CC(C)[C@@H]1CC=C(C)[C@@H]2CC=C(C)C[C@@H]12
6100,C6H14N2,4318-37-0,114.188,,,154.0,0.911120,1.476920,,CN1CCCNCC1
6103,C21H21N3,91-78-1,315.412,,144,185.0,,,"i H2O; sl EtOH; s eth, ace, bz, tol",C1N(CN(CN1c2ccccc2)c3ccccc3)c4ccccc4
6110,C6H18SSi2,3385-94-2,178.443,,,162.5,0.85120,,,C[Si](C)(C)S[Si](C)(C)C
6126,C6H8N2,111-69-3,108.141,nd (eth),2.2(4),295.0,0.967620,1.438020,"sl H2O, eth; s chl, EtOH",N#CCCCCC#N
6127,C6H10O4,124-04-9,146.141,"mcl pr (w, ace, lig)",151.5(6),337.5,1.36025,,"sl H2O; vs EtOH; s eth; i HOAc, lig",OC(=O)CCCCC(O)=O
6131,C6H14O2,629-11-8,118.174,,41.5(5),208.0,1.07925,1.457925,"s H2O, EtOH, ace; sl eth; i bz",OCCCCCCO
6134,C6H10O2,3848-24-6,114.142,,,128.0,0.93419,,,CCCC(=O)C(C)=O
6135,C6H10O2,3002-24-2,114.142,oil,,160.0,0.95920,1.451620,,CCC(=O)CC(C)=O
6136,C6H10O2,110-13-4,114.142,liq,-5.5,194.0,0.737020,1.423220,"vs H2O, bz, eth, EtOH",CC(=O)CCC(C)=O
6137,C6H10O2,4437-51-8,114.142,liq,-10,130.0,0.94121,1.413021,,CCC(=O)C(=O)CC
6139,C6H14S2,1191-43-1,150.305,liq,-21,237.0,0.988625,1.511020,,SCCCCCCS
6152,C6H11ClO,142-61-0,134.603,liq,-87,153.0,0.978420,1.426420,"s eth, ace",CCCCCC(Cl)=O
6157,C6H10O,6728-26-3,98.142,,,146.5,0.849120,1.448020,,CCC/C=C/C=O
6158,C6H10O,6789-80-6,98.142,,,121.0,0.853322,1.430021,,CC\C=C/CC=O
6165,C6H10O2,1191-04-4,114.142,"nd (w, al)",36.5,216.5,0.96520,1.446040,vs eth,CCC/C=C/C(O)=O
6166,C6H10O2,4219-24-3,114.142,,12,208.0,0.964023,1.493520,,CC\C=C/CC(O)=O
6167,C6H10O2,1577-22-6,114.142,liq,-37,203.0,0.961020,1.434320,"vs eth, EtOH",OC(=O)CCCC=C
6169,C6H12O,928-94-9,100.158,,,157.0,0.847220,1.439720,"s H2O; vs EtOH; s eth, ace; sl ctc",CCC\C=C/CO
6174,C6H12O,928-92-7,100.158,,,159.0,0.851320,1.440220,,C/C=C/CCCO
6175,C6H12O,52387-50-5,100.158,,,137.5,0.840518,1.439220,sl H2O,
6185,C8H16O2,108-84-9,144.212,,,147.5,0.880525,1.398020,"sl H2O; vs eth, EtOH",CC(C)CC(C)OC(C)=O
6189,C12H18O2,136-77-6,194.270,nd (bz),68.3(2),334.0,,,"vs ace, eth, EtOH, chl",CCCCCCc1ccc(O)cc1O
6190,C13H18O2,6789-88-4,206.281,,,272.0,0.979320,,"i H2O; s EtOH, ace",CCCCCCOC(=O)c1ccccc1
6199,C10H18O2,142-09-6,170.249,,,162.0,0.88025,1.42925,"vs ace, bz, eth, EtOH",CCCCCCOC(=O)C(C)=C
6208,C16H24,66325-11-9,216.362,liq,,305.0,0.917625,1.512725,,
6213,C6H10O,1002-28-4,98.142,,,162.0,0.898220,1.453020,,CCC#CCCO
6215,C6H10O,105-31-7,98.142,liq,-80,142.0,0.870420,1.434025,s ctc,CCCC(O)C#C
6216,C6H8O,2550-28-9,96.127,,,149.0,0.906520,1.436620,,CC(=O)CCC#C
6242,C2H8N2O,109-84-2,76.097,liq,-70,219.0,1.11925,,"vs H2O, EtOH, MeOH",NNCCO
6254,C11H13NO2,494-55-3,191.227,"nd (lig), cry (peth)",66,303.0,,,"vs ace, bz, eth, EtOH",CN1CCc2cc3OCOc3cc2C1
6270,C7H6O2,100-83-4,122.122,nd (w),106.0(2),240.0,1.1179130,,"sl H2O; s EtOH, eth, ace, bz; i lig",Oc1cccc(C=O)c1
6276,C8H8O3,614-75-5,152.148,,147(3),240.0,,,"sl H2O, chl; s eth",OC(=O)Cc1ccccc1O
6285,C8H10O2,501-94-0,138.164,,90(3),310.0,,,,OCCc1ccc(O)cc1
6288,C7H8O2,623-05-2,124.138,pr or nd (w),124.5,252.0,,,"vs H2O, EtOH, bz, chl; s eth; sl DMSO",OCc1ccc(O)cc1
6309,C12H10O,92-69-3,170.206,,170.0(5),305.0,,,"sl H2O, DMSO; vs EtOH, eth, chl, py",Oc1ccc(cc1)c2ccccc2
6314,C4H8O2,5077-67-8,88.106,,,160.0,1.027220,1.418920,"vs H2O, EtOH, eth",CCC(=O)CO
6315,C4H8O2,52217-02-4,88.106,,15,148.0,1.004420,1.417120,"msc H2O; sl EtOH, eth; s ace, chl; i lig",CC(O)C(C)=O
6316,C4H8O2,590-90-9,88.106,,,182.0,1.023320,1.458514,"msc H2O, EtOH, eth; vs ace",CC(=O)CCO
6327,C8H14O2,1123-27-9,142.196,,,125.5,1.024825,1.467025,"vs eth, EtOH",CC(=O)C1(O)CCCCC1
6337,C5H10O2,597-31-9,102.132,nd (w),89.5,173.0,,,,CC(C)(CO)C=O
6344,C5H8O3,818-61-1,116.116,liq,,191.0,1.01123,,,OCCOC(=O)C=C
6350,C6H11NO2,3445-11-2,129.157,,20,295.0,1.143520,,,OCCN1CCCC1=O
6363,C8H8O3,148-53-8,152.148,"lt ye lf, grn nd (w, lig)",40.5(4),265.5,,,"sl H2O, lig; vs EtOH, eth, ctc",COc1cccc(C=O)c1O
6365,C8H8O3,672-13-9,152.148,ye liq (w),4,247.5,,,"vs eth, EtOH",COc1ccc(O)c(C=O)c1
6367,C8H8O3,121-33-5,152.148,"tetr (w, lig)",81(1),285.0,1.05625,,"sl H2O; vs EtOH, eth, ace; s bz, lig",COc1cc(C=O)ccc1O
6376,C9H10O3,498-02-2,166.173,pr (w),115,297.0,,,"sl H2O; s EtOH, ace, bz; vs eth, chl",COc1cc(ccc1O)C(C)=O
6384,C8H8O2,613-84-3,136.149,"pl (aq, al)",55.1(2),217.5,1.091359,1.54759,"vs eth, EtOH, chl",Cc1ccc(O)c(C=O)c1
6406,C9H10O2,6921-64-8,150.174,,21,245.0,1.101210,1.552713,,Cc1ccc(C(C)=O)c(O)c1
6407,C9H10O2,1450-72-2,150.174,pr (lig),50,210.0,1.079753,,"vs bz, eth, EtOH, chl",Cc1ccc(O)c(c1)C(C)=O
6412,C4H8O3,594-61-6,104.105,hyg pr (eth) nd (bz),80(3),212.0,,,"vs H2O, EtOH, eth; sl bz",CC(C)(O)C(O)=O
6448,C8H16O2,496-77-5,144.212,liq,-10,185.0,0.910716,1.434516,,CCCC(O)C(=O)CCC
6453,C5H10O2,1071-73-4,102.132,,,209.0,1.007120,1.439020,"msc H2O; s EtOH, eth",CC(=O)CCCO
6465,C8H8O2,118-93-4,136.149,,2.5,218.0,1.130720,1.558420,"vs eth, EtOH, HOAc",CC(=O)c1ccccc1O
6467,C8H8O2,121-71-1,136.149,nd or lf,94(3),296.0,1.0992109,1.5348109,"sl H2O; vs EtOH, eth, bz, chl; i lig",CC(=O)c1cccc(O)c1
6479,C9H10O2,5650-40-8,150.174,ye oil,,251.0,1.108518,1.53623,,CC(O)C(=O)c1ccccc1
6499,C3H6O2,116-09-6,74.079,hyg liq,-17,145.5,1.080520,1.429520,"vs H2O, EtOH, eth",CC(=O)CO
6513,C9H19NO,2403-88-5,157.253,,130,213.5,,,,CC1(C)CC(O)CC(C)(C)N1
6532,C3H4N2,288-32-4,68.077,mcl pr (bz),89.52(4),257.0,1.0303101,1.4801101,"vs H2O, EtOH; s eth, ace, py; sl bz",[nH]1ccnc1
6547,C12H18O4,532-34-3,226.269,ye-red liq,,263.0,1.05720,1.47525,"i H2O; vs EtOH, eth, chl",CCCCOC(=O)C1=CC(=O)CC(C)(C)O1
6549,C9H11N,34698-41-4,133.190,,,221.0,1.03815,1.561320,"sl H2O; s eth, ace, bz",[NH3+][C@H]1CCc2ccccc12
6551,C7H6N2,271-44-3,118.136,"nd (al, w)",146.1(6),269.0,,,"s H2O, EtOH, eth",[nH]1ncc2ccccc12
6573,C8H7N,274-40-8,117.149,pl,75,205.0,,,i H2O; s EtOH,c1ccc2cccn2c1
6587,C2H2IN,624-75-9,166.948,,,185.0,2.30725,1.574420,,ICC#N
6588,C2HI,14545-08-5,151.933,,,32.0,,,,IC#C
6594,C7H5IO,15164-44-0,232.018,,77.5,265.0,,,"sl H2O; s EtOH, bz",Ic1ccc(C=O)cc1
6606,C12H9I,1591-31-7,280.103,"nd (al, HOAc)",113.5,320.0,,,"i H2O; s EtOH, eth, bz, HOAc",Ic1ccc(cc1)c2ccccc2
6610,C5H9I,1556-18-9,196.029,,,166.5,1.709620,1.544720,"i H2O; s eth, bz; sl ctc",IC1CCCC1
6611,C10H21I,2050-77-3,268.178,liq,-16.3,263.7,1.254620,1.485820,"i H2O; s EtOH, eth, ctc",CCCCCCCCCCI
6626,C16H33I,544-77-4,352.337,pa ye liq,20(3),357.0,1.121325,1.479720,"i H2O; sl EtOH; s eth, ace; msc bz; vs chl",CCCCCCCCCCCCCCCCI
6629,C7H7IO,529-28-2,234.034,,,241.0,1.820,,"vs EtOH, eth, ace, bz, chl, lig",COc1ccccc1I
6630,C7H7IO,766-85-8,234.034,,,244.5,1.965020,,"vs EtOH, eth",COc1cccc(I)c1
6632,C7H7I,615-37-2,218.035,,,211.5,1.71320,1.607920,"i H2O; msc EtOH, eth",Cc1ccccc1I
6637,C5H11I,594-38-7,198.045,,,124.5,1.493720,1.498120,"i H2O; msc EtOH, eth",CCC(C)(C)I
6640,CH5ISi,18089-64-0,172.041,col liq,-109.5,71.8,,,,
6642,C10H7I,612-55-5,254.067,lf (dil al),54.3(5),308.0,1.631999,1.666299,"i H2O; vs EtOH, eth, HOAc",Ic1ccc2ccccc2c1
6643,C6H4INO2,609-73-4,249.006,ye orth nd (al),50(1),290.0,1.918675,,"i H2O; s EtOH, eth",[O-][N+](=O)c1ccccc1I
6644,C6H4INO2,645-00-1,249.006,mcl pr,36(1),280.0,1.947750,,"i H2O; s EtOH, eth",[O-][N+](=O)c1cccc(I)c1
6645,C6H4INO2,636-98-6,249.006,ye nd (al),173(2),288.0,1.8090155,,"i H2O; s EtOH, HOAc; sl DMSO",[O-][N+](=O)c1ccc(I)cc1
6646,C9H19I,4282-42-2,254.151,col liq,-20,245.0,1.283625,1.484825,,CCCCCCCCCI
6661,C3H7IO,627-32-7,185.991,visc oil,,226.0,1.997620,1.558520,,OCCCI
6682,C5FeO5,13463-40-6,195.896,col to ye oily liq,-20,103.0,1.520,1.519620,"i H2O; sl EtOH; s bz, ace, ctc",[Fe].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+]
6687,C9H17ClN3O3PS,67329-04-8,313.741,,,170.0,1.2220,,,
6705,C5H11NO2,543-28-2,117.147,lf,67,207.0,,1.409876,"vs eth, EtOH",CC(C)COC(N)=O
6706,C5H9ClO2,543-27-1,136.577,,,128.8,1.042618,1.407118,"s EtOH, bz, chl; msc eth",CC(C)COC(Cl)=O
6707,C7H13ClO2,114489-96-2,164.630,,,176.0,1.031220,1.424720,,
6708,C7H13ClO2,62108-68-3,164.630,,,191.3,1.032320,1.429520,"vs eth, EtOH",CC(C)COC(=O)CCCl
6709,C10H20,1678-98-4,140.266,liq,-95,171.3,0.795220,1.438620,"i H2O; s EtOH, ace, chl; vs eth, bz",CC(C)CC1CCCCC1
6713,C11H22O2,7779-80-8,186.292,,,208.0,0.859320,,"vs ace, bz, eth, EtOH",CCCCCCC(=O)OCC(C)C
6714,C11H14O3,87-19-4,194.227,,5.9,261.0,1.063920,1.508720,"i H2O; s EtOH, eth, ctc",CC(C)COC(=O)c1ccccc1O
6716,C5H9NO,1873-29-6,99.131,,,106.0,,,,CC(C)CN=C=O
6717,C5H9NS,591-82-2,115.197,,,160.0,0.963114,1.500514,,CC(C)CN=C=S
6721,C5H12O,625-44-5,88.148,,,58.6,0.731120,,"vs eth, EtOH",COCC(C)C
6722,C4H9NO3,543-29-3,119.119,,,123.4,1.015220,1.402820,,CC(C)CO[N+]([O-])=O
6725,C12H16O2,102-13-6,192.254,,,247.0,0.99918,,"i H2O; s EtOH, eth",CC(C)COC(=O)Cc1ccccc1
6729,C6H9Cl3O2,33560-15-5,219.493,,,188.0,1.263620,1.448320,"vs bz, eth, EtOH",CC(C)COC(=O)C(Cl)(Cl)Cl
6737,C8H7NO,614-68-6,133.148,,,185.0,,1.528220,i H2O; s eth,Cc1ccccc1N=C=O
6738,C8H7NO,621-29-4,133.148,,,196.5,1.033020,,"vs bz, eth",Cc1cccc(c1)N=C=O
6740,C8H7NO,622-58-2,133.148,,,187.0,,,"vs bz, eth",Cc1ccc(cc1)N=C=O
6741,C11H7NO,86-84-0,169.180,,,269.0,1.177420,,"s eth, bz",O=C=Nc1cccc2ccccc12
6745,C4H7NO,1795-48-8,85.105,,,74.5,0.86625,1.382520,,CC(C)N=C=O
6750,C4H7N,598-45-8,69.106,,,87.0,0.759625,,"i H2O; msc EtOH, eth",CC(C)[N+]#[C-]
6773,C11H22O2,2198-61-0,186.292,,,225.5,0.86120,,"i H2O; s EtOH, eth",CCCCCC(=O)OCCC(C)C
6776,C8H16O3,19329-89-6,160.211,,,202.4,0.958925,1.424025,"vs eth, EtOH",CC(C)CCOC(=O)C(C)O
6783,C12H16O3,87-20-7,208.253,,,278.0,1.053520,1.508020,"i H2O; vs EtOH; s eth, chl; sl ctc",CC(C)CCOC(=O)c1ccccc1O
6784,C7H11Cl3O2,57392-55-9,233.520,,,217.0,1.231420,1.452120,"vs eth, EtOH",CC(C)CCOC(=O)C(Cl)(Cl)Cl
6794,C11H12,16262-48-9,144.213,liq,,242.0,0.93,1.568420,,
6804,C9H13N,643-28-7,135.206,,,221.0,0.976012,,"i H2O; s eth, bz, ctc",CC(C)c1ccccc1N
6806,C9H13N,768-52-5,135.206,,,203.0,0.952625,1.538020,"s EtOH, eth, ace, bz",CC(C)Nc1ccccc1
6810,C10H14O,536-60-7,150.217,,28,249.0,0.981820,1.521020,"i H2O; msc EtOH, eth; vs bz",CC(C)c1ccc(CO)cc1
6811,C10H14O,611-69-8,150.217,,,223.0,0.986914,1.519314,"i H2O; s EtOH, ace",CC(C)C(O)c1ccccc1
6815,C4H9NO2,1746-77-6,103.120,nd,93,183.0,0.995166,,,CC(C)OC(N)=O
6817,C4H7ClO2,108-23-6,122.551,,,105.0,,1.401320,vs eth,CC(C)OC(Cl)=O
6818,C6H11ClO2,40058-87-5,150.603,,,151.5,1.031520,1.414920,"i H2O; s EtOH, eth",CC(C)OC(=O)C(C)Cl
6820,C9H16O,5432-85-9,140.222,,,214.0,0.909930,1.455225,,CC(C)C1CCC(=O)CC1
6828,C8H10O3,6270-34-4,154.163,,,198.5,1.065524,1.468224,"i H2O; s EtOH, eth, ace, bz",CC(C)OC(=O)c1occc1
6831,C3H10N2,2257-52-5,74.124,liq,,107.0,,,"s H2O, bz, EtOH; sl eth",[Cl-].CC(C)N[NH3+]
6832,C10H12O3,607-85-2,180.200,,,238.0,1.072920,1.506520,"i H2O; msc EtOH, eth",CC(C)OC(=O)c1ccccc1O
6834,C6H12O3,617-51-6,132.157,,,167.0,0.998020,1.408225,"vs H2O, bz, eth, EtOH",CC(C)OC(=O)C(C)O
6838,C10H15N,2051-53-8,149.233,liq,-16,241.0,0.994220,1.538720,"s ctc, CS2",CC(C)c1ccc(C)c(N)c1
6842,C13H18O,103-95-7,190.281,,,270.0,0.945920,1.506820,"vs bz, eth, EtOH",CC(C)c1ccc(cc1)C(C)CC=O
6846,C10H16,4221-98-1,136.234,,,173.0,0.842120,1.477219,,CC(C)[C@H]1CC=C(C)C=C1
6847,C10H12O2,490-91-5,164.201,,45.5,232.0,,,s chl,CC(C)C1=CC(=O)C(=CC1=O)C
6850,C10H20O,21129-27-1,156.265,,,208.5,0.9020,1.461920,,CC(C)C1CCC(C)(O)CC1
6851,C10H20O,2216-52-6,156.265,oil,-22,211.7,0.89722,1.460020,"vs ace, EtOH",
6854,C10H18O,491-07-6,154.249,,,205.0,0.899520,1.452720,,CC(C)C1CCC(C)CC1=O
6855,C10H18O,14073-97-3,154.249,liq,-6,207.0,0.895420,1.450520,"sl H2O; msc EtOH, eth, bz, CS2; s ace",CC(C)[C@@H]1CC[C@@H](C)CC1=O
6858,C10H18O,562-74-3,154.249,,,209.0,0.92620,1.478519,,CC(C)C1(O)CCC(=CC1)C
6859,C10H16O,535-86-4,152.233,pa ye,,244.0,0.934021,1.486521,"vs ace, EtOH",CC(C)C1CC(=CC(=O)C1)C
6860,C10H16O,6091-52-7,152.233,liq,-19,232.5,0.933120,1.484520,"vs ace, EtOH",CC(C)C1CCC(=CC1=O)C
6864,C10H18O,470-67-7,154.249,,1,173.5,0.899720,1.456220,"sl H2O; msc EtOH, eth; s bz, lig",CC(C)C12CCC(C)(CC1)O2
6869,C12H16O2,528-79-0,192.254,,,245.0,1.0099,,"vs bz, eth, EtOH, chl",CC(C)c1ccc(C)cc1OC(C)=O
6877,C6H14N2O,601-77-4,130.187,"cry (eth,w)",48,194.5,0.942220,,"sl H2O; s EtOH, eth, bz",CC(C)N(N=O)C(C)C
6878,C7H12O3,542-08-5,144.168,liq,-27.3,186.0,0.983520,1.417320,"vs eth, EtOH, lig",CC(C)OC(=O)CC(C)=O
6894,C12H28O4Si,1992-48-9,264.434,,,184.0,0.877020,,"s ctc, CS2",CC(C)O[Si](OC(C)C)(OC(C)C)OC(C)C
6898,C9H12S,3019-20-3,152.256,,,208.0,0.985220,1.546420,,CC(C)Sc1ccccc1
6955,C15H26O,577-27-5,222.366,nd (al),105,292.0,0.9078100,1.4667110,"vs ace, eth, EtOH",C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@@H](CC[C@@]2(C)O)C3(C)C
6971,C10H18O,22564-99-4,154.249,,,198.0,0.87015,1.4627,,CC(C)=CCCC(C)(O)C=C
