,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
1880,C10H14O,2244-16-8,150.217,,<15,231.0,0.96520,1.498920,"sl H2O; vs EtOH; s eth, chl",CC(=C)[C@H]1CC=C(C)C(=O)C1
1885,C15H24,469-61-4,204.352,oil,,262.5,,,,C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
1902,C21H19NO5,34316-15-9,365.380,cry (chl-MeOH),,207.0,,,vs chl,COc1ccc2c3ccc4cc5OCOc5cc4c3[n+](C)cc2c1OC
1934,C2H4ClNO,79-07-2,93.512,,121,225.0,,,s H2O; vs EtOH; sl eth,NC(=O)CCl
1936,C4H4Cl2O3,541-88-8,170.979,pr (bz),46,203.0,1.549720,,,ClCC(=O)OC(=O)CCl
1940,C8H7ClO,532-27-4,154.594,"pl(dil al), rhom, lf (peth)",56.5,247.0,1.32415,,"i H2O; vs EtOH, eth, bz; s ace, peth",ClCC(=O)c1ccccc1
1943,C2HCl,593-63-5,60.482,col gas,-126,-30.0,,,sl EtOH,ClC#C
1952,C7H7ClO,2845-89-8,142.583,,,193.5,1.175912,1.536520,"i H2O; s EtOH, eth",COc1cccc(Cl)c1
1953,C7H7ClO,623-12-1,142.583,,<-18,197.5,1.20120,1.539020,"i H2O; vs EtOH, eth, chl; s ctc",COc1ccc(Cl)cc1
1958,C7H5ClO,587-04-2,140.567,pr,17.5,213.5,1.241020,1.565020,"sl H2O, chl; s EtOH, eth, ace, bz",Clc1cccc(C=O)c1
1959,C7H5ClO,104-88-1,140.567,pl,47(1),213.5,1.19661,1.55561,"s H2O, ace, chl; vs EtOH, eth, bz",Clc1ccc(C=O)cc1
1965,C8H6ClN,2856-63-5,151.594,,24,251.0,1.173718,,,Clc1ccccc1CC#N
1966,C8H6ClN,1529-41-5,151.594,,11.5,261.0,1.180630,1.543720,,Clc1cccc(CC#N)c1
1967,C8H6ClN,140-53-4,151.594,,29,265.0,1.177830,,s ctc,Clc1ccc(CC#N)cc1
1976,C6H5ClO2,95-88-5,144.556,,,257.0,,,"vs H2O, EtOH, eth, ace, bz, CS2",Oc1ccc(Cl)c(O)c1
1977,C6H5ClO2,615-67-8,144.556,"red lf (chl), nd (bz)",108,263.0,,,"vs H2O, chl; s EtOH, eth; vs bz",Oc1ccc(O)c(Cl)c1
1982,C7H7ClO,17849-38-6,142.583,lf or nd (dil al),73,230.0,,,"sl H2O; vs EtOH, eth, lig",OCc1ccccc1Cl
1983,C7H7ClO,873-76-7,142.583,"nd (w), pl (bz or bz-lig)",75,235.0,,,"vs bz, eth, EtOH",OCc1ccc(Cl)cc1
1988,C6H5ClS,6320-03-2,144.622,,,205.5,1.275210,,"sl H2O, EtOH",Sc1ccccc1Cl
1989,C6H5ClS,2037-31-2,144.622,,,206.0,1.263713,,"i H2O; s EtOH, eth, chl, peth",Sc1cccc(Cl)c1
